Name,Review Text,Date Posted
C***.,"Celana kargo yang trendi dan fungsional.,  ",06 Des 2023
8***9,"pengiriman cepat
pengemasan bagus
barang realpic
next order lagi ",3 minggu lalu
jihan,"Bahan:crinkle 
 Ukuran:pas
 Rancangan:bagus dehh
suka sama bahannya adem sukaa pokoknyaaa ",29 Sep 2023
*********792,baguss  ,2 minggu lalu
n***a,"ini celananya bagus sih, tapi tipis bangettt, jadi harus pake celana double biar ga terlalu nyeplak. terus juga di aku ketat, apa memang kaya gini ya modelnya?, kurang tau sii. bisa juga karna pahaku kebesaran😁 ",31 Des 2023
Eva A.,"bagus lumayan dengan harga segitu,bahan nya jatoh dan lumayan tebal ",10 Nov 2023
Dhëel J.,ah mantap sekaliiiiiii yaaa  ,3 minggu lalu
dinda A.,"Bahan:bgus adem
 Ukuran:28
 Rancangan:bangus buat kemana bisa buat main
 ",3 minggu lalu
guest,bagus banget rel pick  ,4 minggu lalu
S***.,"Bahan:bagus
 Ukuran:besar
 Rancangan:bagus
bahan adem sedikit nerawang, tapi baguss ",3 minggu lalu
8***1,sesuai pesanan 👍👍👍 ,18 Okt 2023
Muti A.,"Bahan:crincle
 Ukuran:29
 Rancangan:keren poll
 ",16 Nov 2023
A***.,"nnnnnnnnnnnnneeeeeeeerrrrrrrrraaaaaaawwwwwaaanngggggg
 Bahan:nrwng ",15 Des 2023
Nhur S.,"Bahan:bagus
 Ukuran:XL
sudah saya terima paketnya
kenapa paketnya tidak sesuai gambar
 ",12 Okt 2023
mamah R.,bagus banget celananya.ukuran pas. panjangnya pas. pengiriman cepat 2hari sampe. ukuran jumbo pas bgt BB aku 64 TB 157.  ,3 minggu lalu
Malaa,buat kalian yang masih bingung jangan ragu order disini aku bb 70 masi muat dan longgar ga nyesel next order lgi ,15 Des 2023
8***7,bagus sii mnrtku lumayan ,15 Des 2023
f***.,"Bahan:adem
 Ukuran:pas
 Rancangan:bagus
alhamdullilah barangnya udh nyampai makasih
 ",28 Sep 2023
guest,bagus bangett Nexs order lagi walaupun bahany ga tebel tapi bagus ,22 Sep 2023
Febry O.,barang lah sampai dengan selamat dan kurir nya ramah.barang sperti di foto dan pas ukuran ,2 minggu lalu
8***5,"nyesel bangttt bli bnyk g sesuai modell mana lgi pesanan orng al hasil pada g mau , besok lagi yng teliti kak ",13 Okt 2023
Santhy,"Bahan:halus, jatuh, gak gampang kusut
 Ukuran:agak kepanjangan sedikit, tp gpp
 Rancangan:bagus, sesuai gambar, cuma bahannya agak tipis aja, ya mungkin sesuai sama harga ",16 Des 2023
Nurmayangsari S.,jdiduhshshsbdhhdhdnjfjjcncncnnxjdjdjndndndnnxnxnjxjsnx ,07 Des 2023
Syifa F.,"Bahan:nyaman
 Ukuran:pas

Bagus sih bahannya nyaman, ya meskipun gak sama di gambar tapi bagus, aku suka banget.😍😘😘 ",3 minggu lalu
D***.,pengriman nya cpat bangt dan clananya pas buat adik sya ..nanti sya order.lgi mkasih 🙏 ,07 Okt 2023
Nurul F.,"Bahan:crinkle
 Ukuran:gede bgt ah
 Rancangan:baguussssss



baguuus sihhhh cakep bangeeettttttt ",05 Okt 2023
*********236,trima kasi Lazada barangnya bagus sekali ,10 Okt 2023
f***.,"Bahan:bgs 
 Ukuran:pas

 Rancangan:sesuai  ",01 Okt 2023
Third-Party-User,"Bahan:bagus mantap sesuai

 Ukuran:pas juga
 Rancangan:bahannyq bagus banget
 ",23 Sep 2023
Warno 0.,makasih seler dan juga kurir.y barang tiba dgn selamat selalu pik ,13 Jan 2024
